scope,scope_value,target_lead_sessions,paired_forecasts,paired_observable_targets,paired_brier_improvement,paired_log_loss_improvement,paired_absolute_error_improvement_bps,paired_economic_increment_bps,brier_ci_lower,brier_ci_upper,log_loss_ci_lower,log_loss_ci_upper,absolute_error_ci_lower,absolute_error_ci_upper,economic_ci_lower,economic_ci_upper,brier_bootstrap_p_value,brier_holm_adjusted_p_value,primary_registered_endpoint
all,all,0,8360,2801,-0.0492670220737,-0.214037697667,0,942.152506056,-0.0585162670998,-0.0400809323584,-0.27047580158,-0.164462114198,0,0,-1161.3894481,3195.74544043,0,0,False
all,all,1,8360,2787,-0.0547372107582,-0.260320494516,0,-403.678587182,-0.0639286915889,-0.0458030628808,-0.381492867967,-0.17200560266,0,0,-2527.72780235,1713.50394385,0,0,True
all,all,2,8360,2769,-0.0522890714382,-0.254886424732,0,-249.341061121,-0.0610783683474,-0.0437267060996,-0.383484319157,-0.169471772601,0,0,-2660.22751696,2131.99955023,0,0,False
all,all,3,8360,2752,-0.0472686646663,-0.212269058195,0,-683.434956366,-0.0559259437463,-0.0389495834852,-0.286540820549,-0.157056121852,0,0,-2478.49510454,1163.47190605,0,0,False
all,all,5,8360,2722,-0.0436587194334,-0.247633282072,0,-1222.62363381,-0.0539792575931,-0.034655130587,-0.41302772976,-0.140346778125,0,0,-3550.72059438,1011.43685449,0,0,False
period,2023,0,4180,1420,-0.0542795125648,-0.218947921093,0,784.518186893,-0.0669249976198,-0.0418288893803,-0.304504294212,-0.158041741823,0,0,-904.678448114,2575.3215432,0,0,False
period,2023,1,4180,1415,-0.0603283432909,-0.270910800003,0,9.1280677866,-0.0719910855533,-0.0484110807595,-0.437823413454,-0.168684290261,0,0,-1629.24882532,1571.92932045,0,0,True
period,2023,2,4180,1408,-0.0496627791284,-0.245013456186,0,-515.829478354,-0.062331005491,-0.0375244273926,-0.416471822795,-0.143028582812,0,0,-2139.98776247,1180.67123403,0,0,False
period,2023,3,4180,1400,-0.0520963614854,-0.207754597752,0,-903.04772855,-0.0634060029473,-0.0407383163126,-0.300369931119,-0.14670772776,0,0,-2285.66144434,285.573692679,0,0,False
period,2023,5,4180,1384,-0.0447523705339,-0.242061389579,0,751.665939428,-0.0582708522759,-0.0311105832654,-0.458649418873,-0.115644856867,0,0,-771.018260382,2394.55494306,0,0,False
period,2025,0,4180,1381,-0.0441129768184,-0.20898880754,0,157.634319163,-0.0570646544065,-0.0315388906088,-0.297312605856,-0.141656540398,0,0,-946.20538566,1277.92920628,0,0,False
period,2025,1,4180,1372,-0.0489708459377,-0.249398277122,0,-412.806654968,-0.0643672033079,-0.0345570825582,-0.430332836372,-0.140950703833,0,0,-1846.67293406,1010.35716304,0,0,True
period,2025,2,4180,1361,-0.055006058633,-0.265100340758,0,266.488417233,-0.0678846732974,-0.0428903976334,-0.444787359364,-0.160175045318,0,0,-1436.16195712,1981.35950556,0,0,False
period,2025,3,4180,1352,-0.042269570327,-0.21694379534,0,219.612772184,-0.054822524657,-0.0293905379654,-0.356662152075,-0.132229627774,0,0,-1106.80420871,1498.42734474,0,0,False
period,2025,5,4180,1338,-0.0425274689678,-0.253396734396,0,-1974.28957324,-0.0556210839117,-0.0301282872969,-0.467365409974,-0.126309178128,0,0,-3679.32652342,-656.847545547,0,0,False
