slice_type,slice_value,comparison,treatment,control,paired_opportunities,paired_observable_opportunities,paired_total_difference_bps,paired_mean_difference_bps,paired_median_difference_bps,sessions_improved_fraction,observed_session_mean_difference_bps,bootstrap_lower_95_bps,bootstrap_upper_95_bps,run_id,contract_hash,data_snapshot_hash,model_version
all,all,D_vs_A_primary,D_anchor_veto_plus_price_acceptance,A_same_clock_base,809,809,-15685.3881686,-19.388613311,0,0.339285714286,-15.0725849353,-27.7102338062,-1.65750442627,clean-anchor-ee4b0f206c7412cba0fd4a4b,807e9d6b72e3ea59d9ca960f8d03f1e2b482ceb50086844bef298b1e8e06e42d,ecff4d50651fb210e93f2ddb1d2bd736f864ed83d6812e7a830abb51f58cfe05,clean_anchor_price_acceptance_v1.0.0
all,all,D_vs_B_price_increment_after_anchor,D_anchor_veto_plus_price_acceptance,B_anchor_veto_only,809,809,-15723.7569629,-19.4360407453,0,0.339285714286,,,,clean-anchor-ee4b0f206c7412cba0fd4a4b,807e9d6b72e3ea59d9ca960f8d03f1e2b482ceb50086844bef298b1e8e06e42d,ecff4d50651fb210e93f2ddb1d2bd736f864ed83d6812e7a830abb51f58cfe05,clean_anchor_price_acceptance_v1.0.0
all,all,D_vs_C_anchor_increment_after_price,D_anchor_veto_plus_price_acceptance,C_price_acceptance_only,809,809,0,0,0,0,,,,clean-anchor-ee4b0f206c7412cba0fd4a4b,807e9d6b72e3ea59d9ca960f8d03f1e2b482ceb50086844bef298b1e8e06e42d,ecff4d50651fb210e93f2ddb1d2bd736f864ed83d6812e7a830abb51f58cfe05,clean_anchor_price_acceptance_v1.0.0
all,all,B_vs_A_anchor_veto,B_anchor_veto_only,A_same_clock_base,809,809,38.3687943262,0.0474274342722,0,0.00595238095238,,,,clean-anchor-ee4b0f206c7412cba0fd4a4b,807e9d6b72e3ea59d9ca960f8d03f1e2b482ceb50086844bef298b1e8e06e42d,ecff4d50651fb210e93f2ddb1d2bd736f864ed83d6812e7a830abb51f58cfe05,clean_anchor_price_acceptance_v1.0.0
all,all,C_vs_A_price_acceptance,C_price_acceptance_only,A_same_clock_base,809,809,-15685.3881686,-19.388613311,0,0.339285714286,,,,clean-anchor-ee4b0f206c7412cba0fd4a4b,807e9d6b72e3ea59d9ca960f8d03f1e2b482ceb50086844bef298b1e8e06e42d,ecff4d50651fb210e93f2ddb1d2bd736f864ed83d6812e7a830abb51f58cfe05,clean_anchor_price_acceptance_v1.0.0
period,2025,D_vs_A_primary,D_anchor_veto_plus_price_acceptance,A_same_clock_base,809,809,-15685.3881686,-19.388613311,0,0.339285714286,,,,clean-anchor-ee4b0f206c7412cba0fd4a4b,807e9d6b72e3ea59d9ca960f8d03f1e2b482ceb50086844bef298b1e8e06e42d,ecff4d50651fb210e93f2ddb1d2bd736f864ed83d6812e7a830abb51f58cfe05,clean_anchor_price_acceptance_v1.0.0
period,2025,D_vs_B_price_increment_after_anchor,D_anchor_veto_plus_price_acceptance,B_anchor_veto_only,809,809,-15723.7569629,-19.4360407453,0,0.339285714286,,,,clean-anchor-ee4b0f206c7412cba0fd4a4b,807e9d6b72e3ea59d9ca960f8d03f1e2b482ceb50086844bef298b1e8e06e42d,ecff4d50651fb210e93f2ddb1d2bd736f864ed83d6812e7a830abb51f58cfe05,clean_anchor_price_acceptance_v1.0.0
period,2025,D_vs_C_anchor_increment_after_price,D_anchor_veto_plus_price_acceptance,C_price_acceptance_only,809,809,0,0,0,0,,,,clean-anchor-ee4b0f206c7412cba0fd4a4b,807e9d6b72e3ea59d9ca960f8d03f1e2b482ceb50086844bef298b1e8e06e42d,ecff4d50651fb210e93f2ddb1d2bd736f864ed83d6812e7a830abb51f58cfe05,clean_anchor_price_acceptance_v1.0.0
period,2025,B_vs_A_anchor_veto,B_anchor_veto_only,A_same_clock_base,809,809,38.3687943262,0.0474274342722,0,0.00595238095238,,,,clean-anchor-ee4b0f206c7412cba0fd4a4b,807e9d6b72e3ea59d9ca960f8d03f1e2b482ceb50086844bef298b1e8e06e42d,ecff4d50651fb210e93f2ddb1d2bd736f864ed83d6812e7a830abb51f58cfe05,clean_anchor_price_acceptance_v1.0.0
period,2025,C_vs_A_price_acceptance,C_price_acceptance_only,A_same_clock_base,809,809,-15685.3881686,-19.388613311,0,0.339285714286,,,,clean-anchor-ee4b0f206c7412cba0fd4a4b,807e9d6b72e3ea59d9ca960f8d03f1e2b482ceb50086844bef298b1e8e06e42d,ecff4d50651fb210e93f2ddb1d2bd736f864ed83d6812e7a830abb51f58cfe05,clean_anchor_price_acceptance_v1.0.0
