experiment_model_version,data_snapshot_id,contract_hash,experiment_run_id,model_name,target_window_sessions,system_windows,no_activation_observations,multiple_activation_observations,no_activation_brier,multiple_activation_brier,period,forecast_session,observed_activations,top_one_correct,top_three_recall,mean_reciprocal_rank
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,M0_activation_base_rate,1,179,137,7,0.224651304056,0.0418588777415,,,,,,
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,M0_activation_base_rate,3,330,149,58,0.246396581756,0.144451573573,,,,,,
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,M0_activation_base_rate,5,355,93,123,0.194951597829,0.226548112192,,,,,,
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,M1_destination_own_history,1,179,137,7,0.215817531963,0.0402050477363,,,,,,
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,M1_destination_own_history,3,330,149,58,0.245905017295,0.143189922424,,,,,,
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,M1_destination_own_history,5,355,93,123,0.194695145962,0.228265876078,,,,,,
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,M2_undirected_system_state,1,179,137,7,0.214566439822,0.040011506557,,,,,,
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,M2_undirected_system_state,3,330,149,58,0.246579019248,0.143611682698,,,,,,
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,M2_undirected_system_state,5,355,93,123,0.195356044706,0.229563153153,,,,,,
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,M3_directed_family_rotation,1,179,137,7,0.214551223998,0.0400097189655,,,,,,
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,M3_directed_family_rotation,3,330,149,58,0.246585136796,0.14362815682,,,,,,
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,M3_directed_family_rotation,5,355,93,123,0.195363923996,0.229601041432,,,,,,
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,M5_payoff_only_BOCPD,1,179,137,7,,,,,,,,
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,M5_payoff_only_BOCPD,3,330,149,58,,,,,,,,
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,M5_payoff_only_BOCPD,5,355,93,123,,,,,,,,
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,M6_v1_60_session_selector,1,179,137,7,,,,,,,,
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,M6_v1_60_session_selector,3,330,149,58,,,,,,,,
