excluded_symbol,paired_opportunities,paired_total_difference_bps,paired_mean_difference_bps,status,fully_rebuilt_stock_dependent_model,reason,run_id,contract_hash,data_snapshot_hash,model_version
AAL,780,-8172.79170539,-10.4779380838,exact_deterministic_recalculation_no_trainable_state,False,no trained or stock-dependent timing model exists; all remaining exact rows are recomputed,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
AAOI,750,-6351.61299317,-8.46881732423,exact_deterministic_recalculation_no_trainable_state,False,no trained or stock-dependent timing model exists; all remaining exact rows are recomputed,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
APLD,757,-7214.35017358,-9.53018516986,exact_deterministic_recalculation_no_trainable_state,False,no trained or stock-dependent timing model exists; all remaining exact rows are recomputed,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
ASTS,773,-8704.68636826,-11.2609138011,exact_deterministic_recalculation_no_trainable_state,False,no trained or stock-dependent timing model exists; all remaining exact rows are recomputed,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
CIFR,738,-6914.34414079,-9.36903000106,exact_deterministic_recalculation_no_trainable_state,False,no trained or stock-dependent timing model exists; all remaining exact rows are recomputed,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
HIMS,748,-8066.87846586,-10.7845968795,exact_deterministic_recalculation_no_trainable_state,False,no trained or stock-dependent timing model exists; all remaining exact rows are recomputed,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
IONQ,760,-7672.96237249,-10.0960031217,exact_deterministic_recalculation_no_trainable_state,False,no trained or stock-dependent timing model exists; all remaining exact rows are recomputed,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
IREN,755,-7434.6007432,-9.84715330225,exact_deterministic_recalculation_no_trainable_state,False,no trained or stock-dependent timing model exists; all remaining exact rows are recomputed,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
MARA,785,-8104.28253665,-10.3239267983,exact_deterministic_recalculation_no_trainable_state,False,no trained or stock-dependent timing model exists; all remaining exact rows are recomputed,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
MP,759,-8082.98308362,-10.6495165792,exact_deterministic_recalculation_no_trainable_state,False,no trained or stock-dependent timing model exists; all remaining exact rows are recomputed,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
MRNA,785,-8203.61431835,-10.4504640998,exact_deterministic_recalculation_no_trainable_state,False,no trained or stock-dependent timing model exists; all remaining exact rows are recomputed,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
MSTR,782,-7809.71093581,-9.98684262891,exact_deterministic_recalculation_no_trainable_state,False,no trained or stock-dependent timing model exists; all remaining exact rows are recomputed,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
NVTS,768,-8757.99684324,-11.403641723,exact_deterministic_recalculation_no_trainable_state,False,no trained or stock-dependent timing model exists; all remaining exact rows are recomputed,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
QBTS,744,-8383.52283047,-11.2681758474,exact_deterministic_recalculation_no_trainable_state,False,no trained or stock-dependent timing model exists; all remaining exact rows are recomputed,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
RGTI,775,-8207.47314263,-10.590287926,exact_deterministic_recalculation_no_trainable_state,False,no trained or stock-dependent timing model exists; all remaining exact rows are recomputed,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
RIOT,776,-7574.25070235,-9.76063234838,exact_deterministic_recalculation_no_trainable_state,False,no trained or stock-dependent timing model exists; all remaining exact rows are recomputed,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
RIVN,794,-7444.8270994,-9.37635654836,exact_deterministic_recalculation_no_trainable_state,False,no trained or stock-dependent timing model exists; all remaining exact rows are recomputed,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
SMCI,791,-7739.83540892,-9.78487409472,exact_deterministic_recalculation_no_trainable_state,False,no trained or stock-dependent timing model exists; all remaining exact rows are recomputed,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
SOFI,777,-7766.81506553,-9.99590098523,exact_deterministic_recalculation_no_trainable_state,False,no trained or stock-dependent timing model exists; all remaining exact rows are recomputed,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
WULF,755,-6765.84355779,-8.96138219575,exact_deterministic_recalculation_no_trainable_state,False,no trained or stock-dependent timing model exists; all remaining exact rows are recomputed,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
