slice_type,slice_value,source_opportunities,exact_t0_opportunities,exact_t1_opportunities,paired_opportunities,pairing_rate,t0_net_payoff_bps,t1_net_payoff_bps,t0_mean_net_payoff_bps,t1_mean_net_payoff_bps,t0_median_net_payoff_bps,t1_median_net_payoff_bps,t0_positive_rate,t1_positive_rate,t0_profit_factor,t1_profit_factor,t0_maximum_drawdown_bps,t1_maximum_drawdown_bps,paired_total_difference_bps,paired_mean_difference_bps,paired_median_difference_bps,opportunities_improved_fraction,opportunities_worsened_fraction,opportunities_unchanged_fraction,paired_sign_test_pvalue,sessions,sessions_improved_fraction,observed_session_mean_delta_bps,bootstrap_lower_95_bps,bootstrap_upper_95_bps,run_id,contract_hash,data_snapshot_hash,model_version
all,all,1663,1663,808,808,0.485868911606,15087.3164813,6909.77003457,18.6724213877,8.55169558733,0.640779964482,-1.86097475451,0.5,0.49504950495,1.1674458689,1.0764318675,-4642.76384025,-7335.08639211,-8177.54644671,-10.1207258004,-4.76222873905,0.455445544554,0.52103960396,0.0235148514851,0.0640654541168,168,0.410714285714,-10.8122983145,-18.5366208272,-3.29017944523,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
period,2023,854,854,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
period,2025,809,809,808,808,0.998763906057,15087.3164813,6909.77003457,18.6724213877,8.55169558733,0.640779964482,-1.86097475451,0.5,0.49504950495,1.1674458689,1.0764318675,-4642.76384025,-7335.08639211,-8177.54644671,-10.1207258004,-4.76222873905,0.455445544554,0.52103960396,0.0235148514851,0.0640654541168,168,0.410714285714,-10.8122983145,-18.5366208272,-3.29017944523,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
loop_id,cycle_04,228,228,96,96,0.421052631579,2951.93135764,2840.99909898,30.7492849754,29.5937406143,24.676898694,24.9188477984,0.552083333333,0.53125,1.40590675143,1.39348904812,-1988.18842427,-1852.92143736,-110.932258665,-1.15554436109,2.19427591955,0.5,0.447916666667,0.0520833333333,0.675222459916,51,0.450980392157,-1.07037129085,-9.21569130513,6.55563203335,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
loop_id,cycle_07,1435,1435,712,712,0.496167247387,12135.3851236,4068.77093559,17.0440802298,5.71456592077,-4.29231871851,-8.90859288682,0.49297752809,0.490168539326,1.1465091631,1.04891273469,-5031.66937658,-8187.01821694,-8066.61418805,-11.3295143091,-6.66000966339,0.449438202247,0.530898876404,0.0196629213483,0.0308947926965,165,0.418181818182,-10.3459633401,-18.0814749586,-2.08349519712,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
orientation,state_4,228,228,96,96,0.421052631579,2951.93135764,2840.99909898,30.7492849754,29.5937406143,24.676898694,24.9188477984,0.552083333333,0.53125,1.40590675143,1.39348904812,-1988.18842427,-1852.92143736,-110.932258665,-1.15554436109,2.19427591955,0.5,0.447916666667,0.0520833333333,0.675222459916,51,0.450980392157,-1.07037129085,-9.21569130513,6.55563203335,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
orientation,state_5,1435,1435,712,712,0.496167247387,12135.3851236,4068.77093559,17.0440802298,5.71456592077,-4.29231871851,-8.90859288682,0.49297752809,0.490168539326,1.1465091631,1.04891273469,-5031.66937658,-8187.01821694,-8066.61418805,-11.3295143091,-6.66000966339,0.449438202247,0.530898876404,0.0196629213483,0.0308947926965,165,0.418181818182,-10.3459633401,-18.0814749586,-2.08349519712,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
direction_label,long,1196,1196,550,550,0.459866220736,13652.5952053,5812.23383167,24.8229003732,10.5676978758,-13.3158819199,-23.0874751751,0.478181818182,0.472727272727,1.23206904206,1.09730920726,-4928.03169045,-5649.77889216,-7840.36137361,-14.2552024975,-7.68434725357,0.44,0.538181818182,0.0218181818182,0.0222255513806,157,0.43949044586,-11.9164916572,-20.0611882846,-2.64000725931,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
direction_label,short,467,467,258,258,0.552462526767,1434.721276,1097.5362029,5.56093517828,4.25401629029,18.5309229199,20.9027300344,0.546511627907,0.542635658915,1.04587766115,1.03577976852,-5101.13248875,-5233.1965005,-337.185073101,-1.30691888799,0,0.488372093023,0.484496124031,0.0271317829457,1,112,0.446428571429,-2.03668318066,-13.3137480324,11.414013468,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
symbol,AAL,43,43,28,28,0.651162790698,103.270957416,98.5162160994,3.68824847915,3.51843628926,-15.8902094993,-19.3030251875,0.428571428571,0.464285714286,1.05488310412,1.05100773351,-1263.4856623,-1251.79580706,-4.75474131685,-0.169812189887,-7.08018325973,0.464285714286,0.535714285714,0,0.850554019213,,,,,,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
