signature_id,rejection_reasons_json
long__body_to_range_bin__bearish__compatible_loop_count_bin__7_plus__6a1b4392ce,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
long__body_to_range_bin__bearish__compatible_loop_count_bin__7_plus__stock_vs_universe_return_bin__minus_one_to_zero__6bb6bec2e9,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
long__body_to_range_bin__bearish__df0a869f09,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__body_to_range_bin__bearish__parent_loop_family__transition_length_2__e960be0570,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
long__body_to_range_bin__bearish__return_12_cross_sectional_rank_bin__bottom_20__9a91b58aa1,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__body_to_range_bin__bearish__return_12_cross_sectional_rank_bin__bottom_20__session_return_bin__minus_one_to_zero__777eeb50d7,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
long__body_to_range_bin__bearish__state_motif_2__3gt6__9ac5260357,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_rows"",""non_positive_discovery_payoff""]"
long__body_to_range_bin__bearish__state_motif_2__4gt5__471efd3991,"[""fdr_not_passed"",""insufficient_rows""]"
long__body_to_range_bin__bearish__stock_vs_market_return_bin__below_minus_one_scale__universe_breadth_bin__strong__8171d7634b,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__body_to_range_bin__bearish__top_loop_score_bin__middle__fcb9ed391b,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
long__body_to_range_bin__bearish__top_parent_loop__cycle_04__cd3c1cc960,"[""fdr_not_passed"",""insufficient_rows"",""non_positive_discovery_lift""]"
long__body_to_range_bin__bearish__top_second_margin_bin__low__56dd8d0ff7,"[""fdr_not_passed"",""insufficient_rows""]"
long__body_to_range_bin__bullish__4bdedf51eb,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__body_to_range_bin__bullish__movement_permission__False__state_age_bin__2_3__f99138983a,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__body_to_range_bin__bullish__opening_range_position_bin__below_range__stock_vs_market_return_bin__minus_one_to_zero__d2409cb471,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__body_to_range_bin__bullish__previous_state__5.0__ed9eedd0f0,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__body_to_range_bin__bullish__previous_state__5.0__stock_vs_market_return_bin__minus_one_to_zero__a9bf97d2f7,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_rows"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__body_to_range_bin__bullish__range_to_cost_bin__high__stock_vs_market_return_bin__minus_one_to_zero__4cf38acfac,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
long__body_to_range_bin__bullish__realised_volatility_bin__high__75943022b9,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
long__body_to_range_bin__bullish__return_6_bin__below_minus_one_scale__49a87f35f0,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__body_to_range_bin__bullish__session_return_bin__below_minus_one_scale__f68e8b1a24,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__body_to_range_bin__bullish__state_age_bin__2_3__f1bf9acd5b,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__body_to_range_bin__bullish__state_motif_2__0gt4__e3745b69de,"[""fdr_not_passed"",""insufficient_rows""]"
long__body_to_range_bin__bullish__state_motif_2__2gt4__c27efbbd8e,"[""chronology_not_consistent"",""fdr_not_passed""]"
long__body_to_range_bin__bullish__state_motif_2__3gt6__303aeed322,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_rows"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__body_to_range_bin__bullish__state_motif_3__2gt1gt3__2a00ea255e,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__body_to_range_bin__bullish__state_motif_3__4gt2gt4__universe_breadth_bin__mixed__6d32a6b896,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions""]"
long__body_to_range_bin__bullish__state_motif_3__6gt4gt2__typical_price_distance_bin__below_minus_one_scale__97abfd9abd,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__body_to_range_bin__bullish__stock_vs_market_return_bin__minus_one_to_zero__7fd20f4635,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__body_to_range_bin__bullish__top_loop_score_bin__high__ec19af108c,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__body_to_range_bin__bullish__typical_price_distance_bin__below_minus_one_scale__44fa726c59,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__body_to_range_bin__bullish__universe_breadth_bin__mixed__b7637b78ac,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__body_to_range_bin__small__af29b1891b,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
long__body_to_range_bin__small__current_state__3.0__7b519577d8,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__body_to_range_bin__small__movement_permission__False__prior_completed_dwell_bin__3_6__9dd814972b,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__body_to_range_bin__small__prior_completed_dwell_bin__3_6__f7c311485c,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__body_to_range_bin__small__prior_completed_dwell_bin__3_6__state_motif_3__1gt2gt1__18dbaff26b,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""non_positive_discovery_lift"",""non_positive_discovery_payoff"",""stock_concentration""]"
long__body_to_range_bin__small__prior_completed_dwell_bin__3_6__state_motif_3__3gt1gt0__d99d9afdb5,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""non_positive_discovery_payoff"",""stock_concentration""]"
long__body_to_range_bin__small__range_to_cost_bin__high__06510a00ed,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
long__body_to_range_bin__small__range_to_cost_bin__high__return_6_bin__minus_one_to_zero__060eed67e4,"[""chronology_not_consistent"",""fdr_not_passed""]"
long__body_to_range_bin__small__realised_volatility_bin__middle__6ad0570f6b,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
long__body_to_range_bin__small__realised_volatility_bin__middle__rolling_high_low_location_bin__low__f540b4d6d8,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
long__body_to_range_bin__small__state_motif_2__0gt4__63e4348f06,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""non_positive_discovery_lift"",""non_positive_discovery_payoff"",""stock_concentration""]"
long__body_to_range_bin__small__state_motif_2__1gt3__universe_breadth_bin__strong__5e773736b4,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""non_positive_discovery_payoff""]"
long__body_to_range_bin__small__state_motif_2__2gt5__66d24c76e3,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
