signature_id,direction,stage,condition_count,conditions,feature_support_rows,rejection_reasons,source,conditions_json,rows,sessions,stocks,months,long_count,short_count,neutral_count,long_rate,short_rate,neutral_rate,base_long_rate,base_short_rate,base_neutral_rate,long_lift,short_lift,directional_lift,opposite_direction_excess,mean_directional_net_bps,mean_opposite_net_bps,median_directional_net_bps,directional_economic_advantage_bps,total_net_bps,total_cost_bps,positive_payoff_rate,profit_factor,maximum_drawdown_bps,coverage,abstention,positive_month_fraction,top_stock_absolute_contribution_share,top_five_stock_absolute_contribution_share,stock_contribution_hhi,top_month_absolute_contribution_share,top_five_month_absolute_contribution_share,month_contribution_hhi,twice_cost_mean_net_bps,raw_p_value,neighbourhood_stability,discovery_score,fdr_q_value,discovery_supported_effect,discovery_eligible,rejection_reasons_json,tree_leaf_mean_directional_net_bps
long__compatible_loop_count_bin__3_6__historical_activity_bin__middle__scheduled_bars_remaining_bin__41__a3565b3c2b,LONG,three_condition,3,"[{'feature': 'compatible_loop_count_bin', 'operator': '==', 'value': '3_6', 'family': 'loop'}, {'feature': 'historical_activity_bin', 'operator': '==', 'value': 'middle', 'family': 'liquidity_cost'}, {'feature': 'scheduled_bars_remaining_bin', 'operator': '==', 'value': '41', 'family': 'clock'}]",154,['fdr_not_passed'],three_condition,"[{""family"":""loop"",""feature"":""compatible_loop_count_bin"",""operator"":""=="",""value"":""3_6""},{""family"":""liquidity_cost"",""feature"":""historical_activity_bin"",""operator"":""=="",""value"":""middle""},{""family"":""clock"",""feature"":""scheduled_bars_remaining_bin"",""operator"":""=="",""value"":""41""}]",154,100,20,12,79,60,15,0.512987012987,0.38961038961,0.0974025974026,0.441206543967,0.461247443763,0.0975460122699,0.0717804690197,-0.0716370541524,0.0717804690197,-0.0716370541524,36.6968460081,-56.6968460081,27.5225757133,93.3936920161,5651.31428524,1540,0.545454545455,1.49400899258,2453.63845459,0.0157464212679,0.984253578732,0.75,0.173442055973,0.561629882905,0.0924811587281,0.208438061033,0.716068541035,0.12986534691,26.6968460081,0.107035285052,0,-0.45,0.999955450325,True,False,"[""fdr_not_passed""]",
long__scheduled_bars_remaining_bin__41__session_return_bin__zero_to_plus_one__universe_breadth_bin__strong__28a03ea284,LONG,three_condition,3,"[{'feature': 'scheduled_bars_remaining_bin', 'operator': '==', 'value': '41', 'family': 'clock'}, {'feature': 'session_return_bin', 'operator': '==', 'value': 'zero_to_plus_one', 'family': 'price_location'}, {'feature': 'universe_breadth_bin', 'operator': '==', 'value': 'strong', 'family': 'cross_sectional_environment'}]",87,['fdr_not_passed'],three_condition,"[{""family"":""clock"",""feature"":""scheduled_bars_remaining_bin"",""operator"":""=="",""value"":""41""},{""family"":""price_location"",""feature"":""session_return_bin"",""operator"":""=="",""value"":""zero_to_plus_one""},{""family"":""cross_sectional_environment"",""feature"":""universe_breadth_bin"",""operator"":""=="",""value"":""strong""}]",87,57,20,12,39,39,9,0.448275862069,0.448275862069,0.103448275862,0.441206543967,0.461247443763,0.0975460122699,0.00706931810169,-0.0129715816938,0.00706931810169,-0.0129715816938,17.9586080939,-37.9586080939,-2.59259259259,55.9172161879,1562.39890417,870,0.48275862069,1.28146130381,2060.4940736,0.00889570552147,0.991104294479,0.583333333333,0.228027255705,0.629502122581,0.10861900551,0.278689939366,0.781102667998,0.153624706567,7.95860809395,0.676382437099,0,-0.45,0.999955450325,True,False,"[""fdr_not_passed""]",
long__compatible_loop_count_bin__3_6__scheduled_bars_remaining_bin__41__220fbc5593,LONG,pairwise,2,"[{'feature': 'compatible_loop_count_bin', 'operator': '==', 'value': '3_6', 'family': 'loop'}, {'feature': 'scheduled_bars_remaining_bin', 'operator': '==', 'value': '41', 'family': 'clock'}]",449,['fdr_not_passed'],pairwise,"[{""family"":""loop"",""feature"":""compatible_loop_count_bin"",""operator"":""=="",""value"":""3_6""},{""family"":""clock"",""feature"":""scheduled_bars_remaining_bin"",""operator"":""=="",""value"":""41""}]",449,194,20,12,224,189,36,0.498886414254,0.420935412027,0.0801781737194,0.441206543967,0.461247443763,0.0975460122699,0.0576798702866,-0.0403120317361,0.0576798702866,-0.0403120317361,10.4847399936,-30.4847399936,9.6280686583,40.9694799873,4707.64825715,4490,0.514476614699,1.1343976593,3895.62581177,0.0459100204499,0.95408997955,0.583333333333,0.319165275629,0.719073280871,0.156226951027,0.157350069622,0.642870386888,0.108064993131,0.48473999365,0.50555777773,0,-0.438330551259,0.999955450325,True,False,"[""fdr_not_passed""]",
long__departure_probability_bin__low__wick_asymmetry_bin__upper_dominant__c25a415884,LONG,pairwise,2,"[{'feature': 'departure_probability_bin', 'operator': '==', 'value': 'low', 'family': 'structural_state'}, {'feature': 'wick_asymmetry_bin', 'operator': '==', 'value': 'upper_dominant', 'family': 'bar_shape'}]",106,['fdr_not_passed'],pairwise,"[{""family"":""structural_state"",""feature"":""departure_probability_bin"",""operator"":""=="",""value"":""low""},{""family"":""bar_shape"",""feature"":""wick_asymmetry_bin"",""operator"":""=="",""value"":""upper_dominant""}]",106,70,19,12,50,51,5,0.471698113208,0.481132075472,0.0471698113208,0.441206543967,0.461247443763,0.0975460122699,0.0304915692403,0.0198846317089,0.0304915692403,0.0198846317089,35.2955350888,-55.2955350888,-11.1810250704,90.5910701777,3741.32671942,1060,0.490566037736,1.20982480001,2542.90268673,0.0108384458078,0.989161554192,0.583333333333,0.291778866981,0.571452442586,0.123459614336,0.285829680078,0.798324267137,0.177467864504,25.2955350888,0.612089075218,0,-0.40344236567,0.999955450325,True,False,"[""fdr_not_passed""]",
long__departure_probability_bin__low__return_12_cross_sectional_rank_bin__top_20__bf7acfc57d,LONG,pairwise,2,"[{'feature': 'departure_probability_bin', 'operator': '==', 'value': 'low', 'family': 'structural_state'}, {'feature': 'return_12_cross_sectional_rank_bin', 'operator': '==', 'value': 'top_20', 'family': 'cross_sectional'}]",120,['fdr_not_passed'],pairwise,"[{""family"":""structural_state"",""feature"":""departure_probability_bin"",""operator"":""=="",""value"":""low""},{""family"":""cross_sectional"",""feature"":""return_12_cross_sectional_rank_bin"",""operator"":""=="",""value"":""top_20""}]",120,72,15,12,62,52,6,0.516666666667,0.433333333333,0.05,0.441206543967,0.461247443763,0.0975460122699,0.0754601226994,-0.0279141104294,0.0754601226994,-0.0279141104294,85.9683295653,-105.968329565,29.1444478692,191.936659131,10316.1995478,1200,0.533333333333,1.54204197358,2188.86949708,0.0122699386503,0.98773006135,0.75,0.224445026447,0.697223003927,0.122218009852,0.421151856259,0.887037273554,0.249727624365,75.9683295653,0.245527431987,0,-0.371151856259,0.999955450325,True,False,"[""fdr_not_passed""]",
long__compatibility_mass_bin__middle__return_6_bin__above_plus_one_scale__d014f82f63,LONG,pairwise,2,"[{'feature': 'compatibility_mass_bin', 'operator': '==', 'value': 'middle', 'family': 'loop'}, {'feature': 'return_6_bin', 'operator': '==', 'value': 'above_plus_one_scale', 'family': 'price_displacement'}]",376,['fdr_not_passed'],pairwise,"[{""family"":""loop"",""feature"":""compatibility_mass_bin"",""operator"":""=="",""value"":""middle""},{""family"":""price_displacement"",""feature"":""return_6_bin"",""operator"":""=="",""value"":""above_plus_one_scale""}]",376,175,20,12,189,159,28,0.502659574468,0.422872340426,0.0744680851064,0.441206543967,0.461247443763,0.0975460122699,0.0614530305008,-0.0383751033372,0.0614530305008,-0.0383751033372,23.6879751975,-43.6879751975,10.8948702842,67.375950395,8906.67867426,3760,0.510638297872,1.34548888421,3183.52554591,0.038445807771,0.961554192229,0.666666666667,0.208018417271,0.509718765813,0.0866638327708,0.190410024022,0.688560946908,0.122784591632,13.6879751975,0.58736121631,0,-0.3,0.999955450325,True,False,"[""fdr_not_passed""]",
long__compatible_loop_count_bin__3_6__historical_activity_bin__low__2ed7d1dfac,LONG,pairwise,2,"[{'feature': 'compatible_loop_count_bin', 'operator': '==', 'value': '3_6', 'family': 'loop'}, {'feature': 'historical_activity_bin', 'operator': '==', 'value': 'low', 'family': 'liquidity_cost'}]",338,['fdr_not_passed'],pairwise,"[{""family"":""loop"",""feature"":""compatible_loop_count_bin"",""operator"":""=="",""value"":""3_6""},{""family"":""liquidity_cost"",""feature"":""historical_activity_bin"",""operator"":""=="",""value"":""low""}]",338,161,20,12,157,151,30,0.46449704142,0.44674556213,0.0887573964497,0.441206543967,0.461247443763,0.0975460122699,0.0232904974528,-0.0145018816326,0.0232904974528,-0.0145018816326,8.09534375465,-28.0953437546,-9.88179669031,36.1906875093,2736.22618907,3380,0.479289940828,1.11979231005,2479.90732892,0.0345603271984,0.965439672802,0.666666666667,0.223565471107,0.585238092029,0.100251558553,0.25793111687,0.779554967079,0.153942272493,-1.90465624535,0.407322965873,0,-0.3,0.999955450325,True,False,"[""fdr_not_passed""]",
long__compression_bin__expanded__movement_permission__False__92c774dc71,LONG,pairwise,2,"[{'feature': 'compression_bin', 'operator': '==', 'value': 'expanded', 'family': 'range'}, {'feature': 'movement_permission', 'operator': '==', 'value': False, 'family': 'movement_permission'}]",591,['fdr_not_passed'],pairwise,"[{""family"":""range"",""feature"":""compression_bin"",""operator"":""=="",""value"":""expanded""},{""family"":""movement_permission"",""feature"":""movement_permission"",""operator"":""=="",""value"":false}]",591,216,20,12,272,265,54,0.460236886633,0.448392554992,0.0913705583756,0.441206543967,0.461247443763,0.0975460122699,0.0190303426655,-0.0128548887712,0.0190303426655,-0.0128548887712,3.95328128019,-23.9532812802,-8.76715016436,27.9065625604,2336.38923659,5910,0.480541455161,1.04862314648,4736.58547486,0.0604294478528,0.939570552147,0.583333333333,0.142212165402,0.514690889938,0.0764962548147,0.199735007814,0.655524889649,0.114948274535,-6.04671871981,0.26242484301,0,-0.3,0.999955450325,True,False,"[""fdr_not_passed""]",
long__movement_permission__False__opening_range_position_bin__above_range__90e58a279e,LONG,pairwise,2,"[{'feature': 'movement_permission', 'operator': '==', 'value': False, 'family': 'movement_permission'}, {'feature': 'opening_range_position_bin', 'operator': '==', 'value': 'above_range', 'family': 'price_location'}]",1749,['fdr_not_passed'],pairwise,"[{""family"":""movement_permission"",""feature"":""movement_permission"",""operator"":""=="",""value"":false},{""family"":""price_location"",""feature"":""opening_range_position_bin"",""operator"":""=="",""value"":""above_range""}]",1749,232,20,12,820,783,146,0.468839336764,0.447684391081,0.0834762721555,0.441206543967,0.461247443763,0.0975460122699,0.0276327927966,-0.0135630526822,0.0276327927966,-0.0135630526822,3.12251870109,-23.1225187011,-6.55884353468,26.2450374022,5461.28520821,17490,0.487707261292,1.03326171239,7348.71150366,0.178834355828,0.821165644172,0.583333333333,0.214731264574,0.590000934851,0.0985680508544,0.167828434081,0.677971251235,0.112854860859,-6.87748129891,0.957562574048,0,-0.3,0.999955450325,True,False,"[""fdr_not_passed""]",
long__opening_range_position_bin__above_range__realised_volatility_bin__high__8fa269f820,LONG,pairwise,2,"[{'feature': 'opening_range_position_bin', 'operator': '==', 'value': 'above_range', 'family': 'price_location'}, {'feature': 'realised_volatility_bin', 'operator': '==', 'value': 'high', 'family': 'range'}]",1630,['fdr_not_passed'],pairwise,"[{""family"":""price_location"",""feature"":""opening_range_position_bin"",""operator"":""=="",""value"":""above_range""},{""family"":""range"",""feature"":""realised_volatility_bin"",""operator"":""=="",""value"":""high""}]",1630,221,20,12,777,741,112,0.476687116564,0.454601226994,0.0687116564417,0.441206543967,0.461247443763,0.0975460122699,0.0354805725971,-0.00664621676892,0.0354805725971,-0.00664621676892,3.45259406819,-23.4525940682,-2.37691450065,26.9051881364,5627.72833114,16300,0.494478527607,1.0328781334,9944.86456245,0.166666666667,0.833333333333,0.583333333333,0.166554834488,0.563867716227,0.0871893932295,0.177886597778,0.618297013379,0.105467441377,-6.54740593181,0.983399263213,0,-0.3,0.999955450325,True,False,"[""fdr_not_passed""]",
