signature_id,direction,stage,condition_count,rows,sessions,stocks,mean_directional_net_bps,directional_lift,raw_p_value,fdr_q_value,discovery_score,discovery_supported_effect,discovery_eligible,rejection_reasons_json,conditions_json
long__body_to_range_bin__bearish__df0a869f09,LONG,univariate,1,3453,252,20,-8.63555063722,-0.000140804030993,0.646347724316,0.999955450325,-0.15,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""body_to_range_bin"",""operator"":""=="",""value"":""bearish""}]"
long__body_to_range_bin__bullish__4bdedf51eb,LONG,univariate,1,3204,251,20,-10.9245055782,-0.00581328554031,0.985421915941,0.999955450325,-0.165968536262,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""body_to_range_bin"",""operator"":""=="",""value"":""bullish""}]"
long__body_to_range_bin__small__af29b1891b,LONG,univariate,1,3123,252,20,-7.13079570728,0.00611974485757,0.961010694278,0.999955450325,-0.15,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""body_to_range_bin"",""operator"":""=="",""value"":""small""}]"
long__clock_phase__middle__a5b84f55dd,LONG,univariate,1,4846,249,20,-10.0424452442,0.0022519785255,0.91821367322,0.999955450325,-0.15,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""clock"",""feature"":""clock_phase"",""operator"":""=="",""value"":""middle""}]"
long__clock_phase__opening__034424e407,LONG,univariate,1,4934,252,20,-7.78768900753,-0.00221181352545,0.809211535668,0.999955450325,-0.160783362885,False,False,"[""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""clock"",""feature"":""clock_phase"",""operator"":""=="",""value"":""opening""}]"
long__close_location_bin__high__f65317fa14,LONG,univariate,1,3522,251,20,-9.90465321797,-0.00423891194002,0.947805074407,0.999955450325,-0.155816724324,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""high""}]"
long__close_location_bin__low__0d1e2f430c,LONG,univariate,1,3500,252,20,-9.95358949129,-0.00292082968157,0.789540354018,0.999955450325,-0.15189541338,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""low""}]"
long__close_location_bin__middle__5a9659c936,LONG,univariate,1,2758,250,20,-6.29746024779,0.00911977945549,0.827188534288,0.999955450325,-0.15,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""middle""}]"
long__compatibility_entropy_bin__concentrated__3dccd78e7d,LONG,univariate,1,466,202,20,-6.75638466777,0.0330423830713,0.613240512199,0.999955450325,-0.15,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""loop"",""feature"":""compatibility_entropy_bin"",""operator"":""=="",""value"":""concentrated""}]"
long__compatibility_entropy_bin__diffuse__c7737c0261,LONG,univariate,1,217,144,20,-18.2420918444,-0.00802682046498,0.697298072004,0.999955450325,-0.15,False,False,"[""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""loop"",""feature"":""compatibility_entropy_bin"",""operator"":""=="",""value"":""diffuse""}]"
