signature_id,direction,dimension,value,rows,total_net_bps,mean_net_bps
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,current_state,5.0,35,-884.710792501,-25.2774512143
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,current_state,7.0,373,15013.9558393,40.2518923305
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,decision_clock,clock_12,219,9079.2899575,41.4579450114
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,decision_clock,clock_36,189,5049.95508929,26.7193390968
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-01-19|clock_12,1,111.85640332,111.85640332
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-01-19|clock_36,1,189.527376714,189.527376714
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-01-29|clock_12,1,-492.056775576,-492.056775576
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-01-29|clock_36,1,218.474957794,218.474957794
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-02-13|clock_36,1,-158.483569066,-158.483569066
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-02-14|clock_12,1,-1083.16637715,-1083.16637715
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-02-15|clock_12,1,560.33460076,560.33460076
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-02-20|clock_12,1,310.51943623,310.51943623
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-02-22|clock_12,1,254.071588367,254.071588367
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-02-22|clock_36,1,-88.431372549,-88.431372549
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-02-23|clock_12,1,53.7829036112,53.7829036112
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-02-23|clock_36,1,341.90542522,341.90542522
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-02-27|clock_36,1,-58.2382189239,-58.2382189239
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-02-29|clock_12,1,-76.1616319623,-76.1616319623
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-05-07|clock_36,1,-82.6895119418,-82.6895119418
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-05-10|clock_12,1,-10,-10
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-05-17|clock_12,1,-389.332897319,-389.332897319
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-05-17|clock_36,1,176.177934694,176.177934694
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-05-20|clock_12,1,56.0327522451,56.0327522451
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-05-29|clock_12,2,1798.43687071,899.218435354
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-05-30|clock_36,1,331.641245048,331.641245048
