period,symbol_norm,source_rows_in_period,accepted_regular_rows,sessions,outside_regular_rows,off_grid_regular_rows,invalid_ohlc_rows,invalid_volume_rows,first_timestamp,last_timestamp
2024,AAL,19800,19541,252,249,0,10,10,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00
2024,AAOI,19800,19538,252,249,0,13,13,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00
2024,APLD,19798,19541,252,247,0,10,10,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00
2024,ASTS,19799,19534,252,248,0,13,17,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00
2024,CIFR,19798,19535,252,247,0,10,16,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00
2024,HIMS,19800,19541,252,249,0,7,10,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00
2024,IONQ,19799,19540,252,248,0,8,11,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00
2024,IREN,19799,19543,252,248,0,8,8,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00
2024,MARA,19799,19537,252,248,0,10,14,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00
2024,MP,19799,19540,252,248,0,7,11,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00
2024,MRNA,19802,19541,252,251,0,10,10,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00
2024,MSTR,19801,19534,252,250,0,17,17,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00
2024,NVTS,19801,19527,252,250,0,11,24,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00
2024,QBTS,19800,19529,252,249,0,18,22,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00
2024,RGTI,19799,19452,251,248,0,96,99,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00
2024,RIOT,19798,19532,252,247,0,9,19,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00
2024,RIVN,19799,19541,252,248,0,9,10,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00
2024,SMCI,19799,19542,252,248,0,9,9,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00
2024,SOFI,19798,19533,252,247,0,9,18,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00
2024,WULF,19799,19463,251,248,0,88,88,2024-01-02 14:30:00+00:00,2024-12-31 20:55:00+00:00
2025,AAL,19629,19368,250,234,0,27,27,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2025,AAOI,19630,19393,250,235,0,2,2,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2025,APLD,19631,19365,250,236,0,30,30,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2025,ASTS,19628,19392,250,233,0,2,3,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2025,CIFR,19629,19389,250,233,1,1,6,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2025,HIMS,19629,19385,250,234,0,7,10,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2025,IONQ,19629,19378,250,233,1,14,17,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2025,IREN,19630,19384,250,234,1,5,11,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2025,MARA,19630,19366,250,235,0,25,29,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2025,MP,19630,19385,250,235,0,7,10,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2025,MRNA,19631,19394,250,236,0,1,1,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2025,MSTR,19629,19394,250,234,0,1,1,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2025,NVTS,19629,19386,250,233,1,4,9,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2025,QBTS,19629,19370,250,234,0,22,25,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2025,RGTI,19628,19365,250,233,0,5,30,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2025,RIOT,19630,19372,250,234,1,13,23,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
