signature_id,direction,stage,condition_count,rows,sessions,stocks,mean_directional_net_bps,directional_lift,raw_p_value,fdr_q_value,discovery_score,discovery_supported_effect,discovery_eligible,rejection_reasons_json,conditions_json
long__body_to_range_bin__bearish__compatible_loop_count_bin__7_plus__stock_vs_universe_return_bin__minus_one_to_zero__6bb6bec2e9,LONG,three_condition,3,155,97,20,-7.67407701016,0.0362128108714,0.948846300603,0.999955450325,-0.45,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""body_to_range_bin"",""operator"":""=="",""value"":""bearish""},{""family"":""loop"",""feature"":""compatible_loop_count_bin"",""operator"":""=="",""value"":""7_plus""},{""family"":""cross_sectional"",""feature"":""stock_vs_universe_return_bin"",""operator"":""=="",""value"":""minus_one_to_zero""}]"
long__body_to_range_bin__bearish__return_12_cross_sectional_rank_bin__bottom_20__session_return_bin__minus_one_to_zero__777eeb50d7,LONG,three_condition,3,82,68,20,-0.742855456357,0.0465983340815,0.67906896368,0.999955450325,-0.45,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""body_to_range_bin"",""operator"":""=="",""value"":""bearish""},{""family"":""cross_sectional"",""feature"":""return_12_cross_sectional_rank_bin"",""operator"":""=="",""value"":""bottom_20""},{""family"":""price_location"",""feature"":""session_return_bin"",""operator"":""=="",""value"":""minus_one_to_zero""}]"
long__body_to_range_bin__bearish__stock_vs_market_return_bin__below_minus_one_scale__universe_breadth_bin__strong__8171d7634b,LONG,three_condition,3,196,111,20,-48.0958432726,-0.0738596051918,0.989763789934,0.999955450325,-0.524466841952,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""body_to_range_bin"",""operator"":""=="",""value"":""bearish""},{""family"":""cross_sectional"",""feature"":""stock_vs_market_return_bin"",""operator"":""=="",""value"":""below_minus_one_scale""},{""family"":""cross_sectional_environment"",""feature"":""universe_breadth_bin"",""operator"":""=="",""value"":""strong""}]"
long__body_to_range_bin__bullish__movement_permission__False__state_age_bin__2_3__f99138983a,LONG,three_condition,3,852,231,20,-10.2017432671,-0.0174976237795,0.755233589873,0.999955450325,-0.461757251073,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""body_to_range_bin"",""operator"":""=="",""value"":""bullish""},{""family"":""movement_permission"",""feature"":""movement_permission"",""operator"":""=="",""value"":false},{""family"":""structural_state"",""feature"":""state_age_bin"",""operator"":""=="",""value"":""2_3""}]"
long__body_to_range_bin__bullish__opening_range_position_bin__below_range__stock_vs_market_return_bin__minus_one_to_zero__d2409cb471,LONG,three_condition,3,186,100,20,-1.58317025086,-0.00572267299954,0.55172171169,0.999955450325,-0.467247179893,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""body_to_range_bin"",""operator"":""=="",""value"":""bullish""},{""family"":""price_location"",""feature"":""opening_range_position_bin"",""operator"":""=="",""value"":""below_range""},{""family"":""cross_sectional"",""feature"":""stock_vs_market_return_bin"",""operator"":""=="",""value"":""minus_one_to_zero""}]"
long__body_to_range_bin__bullish__previous_state__5.0__stock_vs_market_return_bin__minus_one_to_zero__a9bf97d2f7,LONG,three_condition,3,79,67,19,-27.2235489302,-0.0108267971318,1,1,-0.545714581554,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_rows"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""body_to_range_bin"",""operator"":""=="",""value"":""bullish""},{""family"":""structural_state"",""feature"":""previous_state"",""operator"":""=="",""value"":5.0},{""family"":""cross_sectional"",""feature"":""stock_vs_market_return_bin"",""operator"":""=="",""value"":""minus_one_to_zero""}]"
long__body_to_range_bin__bullish__range_to_cost_bin__high__stock_vs_market_return_bin__minus_one_to_zero__4cf38acfac,LONG,three_condition,3,128,90,20,-10.0047853519,0.0119184560327,0.608590260039,0.999955450325,-0.496565056237,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""body_to_range_bin"",""operator"":""=="",""value"":""bullish""},{""family"":""movement_permission"",""feature"":""range_to_cost_bin"",""operator"":""=="",""value"":""high""},{""family"":""cross_sectional"",""feature"":""stock_vs_market_return_bin"",""operator"":""=="",""value"":""minus_one_to_zero""}]"
long__body_to_range_bin__bullish__state_motif_3__4gt2gt4__universe_breadth_bin__mixed__6d32a6b896,LONG,three_condition,3,23,19,12,10.004129231,0.0370543255979,1,1,-0.499494340463,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions""]","[{""family"":""bar_shape"",""feature"":""body_to_range_bin"",""operator"":""=="",""value"":""bullish""},{""family"":""state_history"",""feature"":""state_motif_3"",""operator"":""=="",""value"":""4>2>4""},{""family"":""cross_sectional_environment"",""feature"":""universe_breadth_bin"",""operator"":""=="",""value"":""mixed""}]"
long__body_to_range_bin__bullish__state_motif_3__6gt4gt2__typical_price_distance_bin__below_minus_one_scale__97abfd9abd,LONG,three_condition,3,0,0,0,,,1,1,,False,False,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]","[{""family"":""bar_shape"",""feature"":""body_to_range_bin"",""operator"":""=="",""value"":""bullish""},{""family"":""state_history"",""feature"":""state_motif_3"",""operator"":""=="",""value"":""6>4>2""},{""family"":""price_location"",""feature"":""typical_price_distance_bin"",""operator"":""=="",""value"":""below_minus_one_scale""}]"
long__body_to_range_bin__small__movement_permission__False__prior_completed_dwell_bin__3_6__9dd814972b,LONG,three_condition,3,680,228,20,-6.61839432027,-0.00591242632022,0.884554148835,0.999955450325,-0.45,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""body_to_range_bin"",""operator"":""=="",""value"":""small""},{""family"":""movement_permission"",""feature"":""movement_permission"",""operator"":""=="",""value"":false},{""family"":""structural_state"",""feature"":""prior_completed_dwell_bin"",""operator"":""=="",""value"":""3_6""}]"
