run_id,period,session,episode_id,pair,loop,orientation,regime,component,source_artifact,source_hash,calendar_cells,payoff_available_cells,positive_label_available_cells,positive_cells,missing_payoff_cells,pair_specific_positive_rate
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,cycle_01|state_1,cycle_01,state_1,state_1,descriptive,v2_hindsight_episode_states.parquet,eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,4,4,0,246,0
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,cycle_01|state_3,cycle_01,state_3,state_3,descriptive,v2_hindsight_episode_states.parquet,eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,12,9,0,238,0
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,cycle_02|state_1,cycle_02,state_1,state_1,descriptive,v2_hindsight_episode_states.parquet,eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,9,7,2,241,0.285714285714
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,cycle_02|state_2,cycle_02,state_2,state_2,descriptive,v2_hindsight_episode_states.parquet,eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,4,3,3,246,1
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,cycle_04|state_2,cycle_04,state_2,state_2,descriptive,v2_hindsight_episode_states.parquet,eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,14,8,5,236,0.625
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,cycle_04|state_4,cycle_04,state_4,state_4,descriptive,v2_hindsight_episode_states.parquet,eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,124,93,25,126,0.268817204301
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,cycle_05|state_0,cycle_05,state_0,state_0,descriptive,v2_hindsight_episode_states.parquet,eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,139,102,31,111,0.303921568627
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,cycle_05|state_3,cycle_05,state_3,state_3,descriptive,v2_hindsight_episode_states.parquet,eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,2,0,0,248,
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,cycle_06|state_4,cycle_06,state_4,state_4,descriptive,v2_hindsight_episode_states.parquet,eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,244,187,51,6,0.272727272727
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,cycle_06|state_6,cycle_06,state_6,state_6,descriptive,v2_hindsight_episode_states.parquet,eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,246,187,22,4,0.117647058824
