semantic_loop_id,primitive_loop_id,motif_type,repeat_depth,canonical_path,full_transition_length,eligible_anchor_count,observed_completions,expected_completions_semi_markov,expected_completions_first_order,expected_completions_second_order,excess_completions,rate_ratio,empirical_p_value,fdr_q_value,conditional_information_gain,increment_beyond_current_state,increment_beyond_previous_state_history,stock_breadth,month_breadth,clock_breadth,period_consistency,complexity_penalty,selection_score,support_eligible_for_null,candidate_status,exclusion_reason,selection_rank,selected,run_id_v2,git_sha,contract_hash,data_snapshot_hash,source_artifact_hash,dictionary_version,dictionary_hash,state_model_version,symbol,session,timestamp,legacy_cycle_id,research_only,execution_enabled,order_placement,broker_connected,strategy_promotion
loop_p_0-1-0,loop_p_0-1-0,primitive,1,0->1->0,2,25740,3873,2436.25604895,2420.82934283,3855.18056025,1436.74395105,1.58961337212,0.000499750124938,0.00226275751013,0.0226324970031,0.10200097518,0.00100102296819,22,12,3,1,0.1,11.1552024378,True,null_evaluated,,1,True,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
loop_r3_0-1-0,loop_p_0-1-0,repeat,3,0->1->0->1->0->1->0,6,18712,479,17.4954335664,15.5663612685,225.60263897,461.504566434,26.6456486436,0.000499750124938,0.00226275751013,0.0862131011873,0.125542126983,0.0277904748621,16,12,3,1,0.8,13.2126088518,True,null_evaluated,,2,True,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
loop_r2_0-1-0,loop_p_0-1-0,repeat,2,0->1->0->1->0,4,22217,1262,205.370664336,196.515440624,943.892030143,1056.62933566,6.13249101845,0.000499750124938,0.00226275751013,0.0817396033012,0.152280910107,0.0237990521425,20,12,3,1,0.45,13.1701180932,True,null_evaluated,,3,True,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
loop_r4_0-1-0,loop_p_0-1-0,repeat,4,0->1->0->1->0->1->0->1->0,8,15406,169,1.28628671329,1.20534791894,52.5713004215,167.713713287,94.8895822486,0.0039980009995,0.0125321954407,0.0566410258943,0.0729957339904,0.0184305970582,12,12,3,1,1.15,12.0684547179,True,null_evaluated,,4,True,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
loop_p_4-5-4,loop_p_4-5-4,primitive,1,4->5->4,2,21762,898,275.58451049,289.076725504,884.841073498,622.41548951,3.25443828198,0.00199900049975,0.00708341481433,0.0296278730883,0.0674431469751,0.000878771641446,22,12,3,1,0.1,10.7097065533,True,null_evaluated,,5,True,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
loop_r2_4-5-4,loop_p_4-5-4,repeat,2,4->5->4->5->4,4,19820,144,2.94975524476,3.4972951973,113.221668847,141.050244755,41.8870295856,0.000999500249875,0.00387901287452,0.0290531146465,0.0377336045596,0.00251923489353,18,12,3,1,0.45,11.1420111395,True,null_evaluated,,6,True,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
loop_p_4-6-4,loop_p_4-6-4,primitive,1,4->6->4,2,25836,2588,1378.41579021,1458.78816971,2550.65576739,1209.58420979,1.87719947685,0.000499750124938,0.00226275751013,0.025184197108,0.0828387639219,0.00210042785128,22,12,3,1,0.1,10.9944094536,True,null_evaluated,,7,True,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
loop_p_1-2-1,loop_p_1-2-1,primitive,1,1->2->1,2,33349,5452,3985.02262238,3898.35428636,5290.1805969,1466.97737762,1.36807654017,0.000499750124938,0.00226275751013,0.0120752402269,0.0791090926411,0.00710615925975,22,12,3,1,0.1,10.7524876865,True,null_evaluated,,8,True,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
loop_r2_4-6-4,loop_p_4-6-4,repeat,2,4->6->4->6->4,4,24128,477,68.1731958042,76.9228271987,425.570550736,408.826804196,6.95322235129,0.000499750124938,0.00226275751013,0.0311293553542,0.0519408117785,0.00325355416763,21,12,3,1,0.45,10.632713253,True,null_evaluated,,9,True,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
loop_p_2-4-2,loop_p_2-4-2,primitive,1,2->4->2,2,30608,3116,1998.97659441,2041.84628351,3111.63244261,1117.02340559,1.55865790513,0.0119940029985,0.0283336592573,0.0135862618705,0.0620774151777,0.000206000612769,22,12,3,1,0.1,10.2766092324,True,null_evaluated,,10,True,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
