symbol,source_file,source_file_hash,source_hash_scope,bounded_source_rows,development_start,development_end,data_snapshot_hash,run_id_v2,git_sha,contract_hash,source_artifact_hash,dictionary_version,dictionary_hash,state_model_version,session,timestamp,semantic_loop_id,legacy_cycle_id,research_only,execution_enabled,order_placement,broker_connected,strategy_promotion
AAL,/Users/michaelsalerno/StockerLocal/data/processed/source=eodhd/instrument_type=stock/symbol=AAL/timeframe=5m/data.parquet,fc4c823f69a282c58ba256cfe412b1152d46e36288f1acb0d7794e27dc4fda2d,filtered_2024_development_rows_only,19800,2024-01-01 00:00:00+00:00,2024-12-31 23:59:59+00:00,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
AAOI,/Users/michaelsalerno/StockerLocal/data/processed/source=eodhd/instrument_type=stock/symbol=AAOI/timeframe=5m/data.parquet,23d5239452a5c9dfdafca4977649b1e26b2424b47e6fa6332ffffca87bfb0fa5,filtered_2024_development_rows_only,19800,2024-01-01 00:00:00+00:00,2024-12-31 23:59:59+00:00,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
APLD,/Users/michaelsalerno/StockerLocal/data/processed/source=eodhd/instrument_type=stock/symbol=APLD/timeframe=5m/data.parquet,c45cb19ff7cb92c89ea060953ef36f831c659175d3f3a3624f460dfb83a3426b,filtered_2024_development_rows_only,19798,2024-01-01 00:00:00+00:00,2024-12-31 23:59:59+00:00,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
ASTS,/Users/michaelsalerno/StockerLocal/data/processed/source=eodhd/instrument_type=stock/symbol=ASTS/timeframe=5m/data.parquet,bc9994ee861c8dcbb02be7fa45cd519d1abeef28abbb5013dbe0d34dfb88e397,filtered_2024_development_rows_only,19799,2024-01-01 00:00:00+00:00,2024-12-31 23:59:59+00:00,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
AXTI,/Users/michaelsalerno/StockerLocal/data/processed/source=eodhd/instrument_type=stock/symbol=AXTI/timeframe=5m/data.parquet,5d3f8641f95a7937bd46a55e69a98ec9237e22befb8122e7c5ab202817d0c433,filtered_2024_development_rows_only,19798,2024-01-01 00:00:00+00:00,2024-12-31 23:59:59+00:00,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
CIFR,/Users/michaelsalerno/StockerLocal/data/processed/source=eodhd/instrument_type=stock/symbol=CIFR/timeframe=5m/data.parquet,dab0144fc80f9f3498baee725f0f429cde814203dc086ec372834677997ebaf3,filtered_2024_development_rows_only,19798,2024-01-01 00:00:00+00:00,2024-12-31 23:59:59+00:00,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
HIMS,/Users/michaelsalerno/StockerLocal/data/processed/source=eodhd/instrument_type=stock/symbol=HIMS/timeframe=5m/data.parquet,41db4a5cb21e7f713ddf52495b7b6c0d5c9b53cf46cd66c2d7e6b07420ce3a38,filtered_2024_development_rows_only,19800,2024-01-01 00:00:00+00:00,2024-12-31 23:59:59+00:00,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
IONQ,/Users/michaelsalerno/StockerLocal/data/processed/source=eodhd/instrument_type=stock/symbol=IONQ/timeframe=5m/data.parquet,a922318e2636c63c1704b8735201cbcf116b9186eca201848c4d2585a5745f10,filtered_2024_development_rows_only,19799,2024-01-01 00:00:00+00:00,2024-12-31 23:59:59+00:00,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
IREN,/Users/michaelsalerno/StockerLocal/data/processed/source=eodhd/instrument_type=stock/symbol=IREN/timeframe=5m/data.parquet,5b0ea2266fa1c350f334d41c41d7312d83b530868ce0c5bf8bdffc0c682bcf34,filtered_2024_development_rows_only,19799,2024-01-01 00:00:00+00:00,2024-12-31 23:59:59+00:00,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
MARA,/Users/michaelsalerno/StockerLocal/data/processed/source=eodhd/instrument_type=stock/symbol=MARA/timeframe=5m/data.parquet,635745a34cd85fb5e9bec227f18161a8a462f2805a0c00d200e955111dac2dd7,filtered_2024_development_rows_only,19799,2024-01-01 00:00:00+00:00,2024-12-31 23:59:59+00:00,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
