semantic_motif_id,motif_type,primitive_loop_id,repeat_depth,component_primitive_ids,full_path,closed_path,allowed_orientations,transition_length,legacy_cycle_ids,nested_completion_policy,primary_class_eligible,metadata_use,run_id,git_sha,contract_hash,data_snapshot_hash,dictionary_version,dictionary_hash,state_model_version,research_only,execution_enabled,order_placement,broker_connected,economic_outcomes_used,payoff_selection_used,production_runtime_modified,strategy_promotion,decision_id,symbol,session,decision_timestamp,event_timestamp,semantic_loop_id,source_artifact,source_hash
loop_c_012d5eef9f19,composite,loop_p_0-1-3-0,1,"['loop_p_1-3-1', 'loop_p_0-1-3-0']","[0, 1, 3, 1, 3, 0]","[0, 1, 3, 1, 3, 0]","[[0, 1, 3, 1, 3, 0]]",5,[],never_replaces_earlier_primitive_primary,False,nested_composite_sequence,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,,development structural motifs,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_c_02f68f22e6e3,composite,loop_p_0-1-0,1,"['loop_p_0-2-0', 'loop_p_0-1-0']","[1, 0, 2, 0, 1]","[1, 0, 2, 0, 1]","[[1, 0, 2, 0, 1]]",4,[],never_replaces_earlier_primitive_primary,False,nested_composite_sequence,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,,development structural motifs,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_c_06cb7aa7a69b,composite,loop_p_1-3-1,1,"['loop_p_2-3-2', 'loop_p_1-3-1']","[1, 3, 2, 3, 1]","[1, 3, 2, 3, 1]","[[1, 3, 2, 3, 1]]",4,[],never_replaces_earlier_primitive_primary,False,nested_composite_sequence,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,,development structural motifs,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_c_0ac63dbeef9e,composite,loop_p_1-3-1,1,"['loop_p_1-2-1', 'loop_p_1-2-1', 'loop_p_1-3-1']","[3, 1, 2, 1, 2, 1, 3]","[3, 1, 2, 1, 2, 1, 3]","[[3, 1, 2, 1, 2, 1, 3]]",6,[],never_replaces_earlier_primitive_primary,False,nested_composite_sequence,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,,development structural motifs,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_c_0c65552fde2a,composite,loop_p_1-3-1,1,"['loop_p_1-2-1', 'loop_p_1-3-1']","[3, 1, 2, 1, 3]","[3, 1, 2, 1, 3]","[[3, 1, 2, 1, 3]]",4,[],never_replaces_earlier_primitive_primary,False,nested_composite_sequence,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,,development structural motifs,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_c_12c4c12e1eb0,composite,loop_p_2-3-2,1,"['loop_p_1-2-1', 'loop_p_2-3-2']","[3, 2, 1, 2, 3]","[3, 2, 1, 2, 3]","[[3, 2, 1, 2, 3]]",4,[],never_replaces_earlier_primitive_primary,False,nested_composite_sequence,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,,development structural motifs,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_c_143947eb4ded,composite,loop_p_1-3-1,1,"['loop_p_2-3-4-2', 'loop_p_1-3-1']","[1, 3, 4, 2, 3, 1]","[1, 3, 4, 2, 3, 1]","[[1, 3, 4, 2, 3, 1]]",5,[],never_replaces_earlier_primitive_primary,False,nested_composite_sequence,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,,development structural motifs,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_c_14caf95d8a18,composite,loop_p_0-1-0,1,"['loop_p_0-3-0', 'loop_p_0-3-0', 'loop_p_0-1-0']","[1, 0, 3, 0, 3, 0, 1]","[1, 0, 3, 0, 3, 0, 1]","[[1, 0, 3, 0, 3, 0, 1]]",6,[],never_replaces_earlier_primitive_primary,False,nested_composite_sequence,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,,development structural motifs,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_c_15899f5c0a8a,composite,loop_p_4-6-4,1,"['loop_p_4-5-4', 'loop_p_4-6-4']","[6, 4, 5, 4, 6]","[6, 4, 5, 4, 6]","[[6, 4, 5, 4, 6]]",4,[],never_replaces_earlier_primitive_primary,False,nested_composite_sequence,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,,development structural motifs,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_c_1670fe599fe1,composite,loop_p_0-3-0,1,"['loop_p_0-1-0', 'loop_p_0-1-0', 'loop_p_0-3-0']","[3, 0, 1, 0, 1, 0, 3]","[3, 0, 1, 0, 1, 0, 3]","[[3, 0, 1, 0, 1, 0, 3]]",6,[],never_replaces_earlier_primitive_primary,False,nested_composite_sequence,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,,development structural motifs,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
