is_same_primitive_repeat,current_repeat_depth,decision_count,primitive_roots,research_only,execution_enabled,order_placement,broker_connected,economic_outcomes_used,payoff_selection_used,production_runtime_modified,strategy_promotion,run_id,git_sha,contract_hash,data_snapshot_hash,dictionary_version,dictionary_hash,state_model_version,decision_id,symbol,session,decision_timestamp,event_timestamp,semantic_loop_id,primitive_loop_id,source_artifact,source_hash
False,1,206418,663,True,False,disabled,False,False,False,False,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,,,,,unregistered_event_ledger.parquet,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
True,2,40530,316,True,False,disabled,False,False,False,False,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,,,,,unregistered_event_ledger.parquet,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
True,3,13093,151,True,False,disabled,False,False,False,False,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,,,,,unregistered_event_ledger.parquet,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
True,4,5970,72,True,False,disabled,False,False,False,False,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,,,,,unregistered_event_ledger.parquet,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
True,5,2493,36,True,False,disabled,False,False,False,False,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,,,,,unregistered_event_ledger.parquet,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
True,6,1492,20,True,False,disabled,False,False,False,False,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,,,,,unregistered_event_ledger.parquet,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
True,7,698,12,True,False,disabled,False,False,False,False,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,,,,,unregistered_event_ledger.parquet,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
True,8,385,10,True,False,disabled,False,False,False,False,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,,,,,unregistered_event_ledger.parquet,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
True,9,196,8,True,False,disabled,False,False,False,False,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,,,,,unregistered_event_ledger.parquet,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
True,10,132,7,True,False,disabled,False,False,False,False,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,,,,,unregistered_event_ledger.parquet,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
