semantic_loop_id,primitive_loop_id,observed_independent_completion_events,analytical_expected_count,analytical_control,run_id,git_sha,contract_hash,data_snapshot_hash,dictionary_version,dictionary_hash,state_model_version,research_only,execution_enabled,order_placement,broker_connected,economic_outcomes_used,payoff_selection_used,production_runtime_modified,strategy_promotion,decision_id,symbol,session,decision_timestamp,event_timestamp,source_artifact,source_hash
loop_p_0-1-2-0,loop_p_0-1-2-0,934,504.336199912,first_order_oriented_raw_completion_expectation,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,first-order development state process,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-1-2-3-0,loop_p_0-1-2-3-0,261,235.122718345,first_order_oriented_raw_completion_expectation,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,first-order development state process,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-1-3-0,loop_p_0-1-3-0,1297,883.176116701,first_order_oriented_raw_completion_expectation,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,first-order development state process,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-1-4-0,loop_p_0-1-4-0,102,67.6654787836,first_order_oriented_raw_completion_expectation,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,first-order development state process,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-1-4-2-0,loop_p_0-1-4-2-0,137,91.0946238107,first_order_oriented_raw_completion_expectation,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,first-order development state process,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-2-0,loop_p_0-2-0,484,160.46875477,first_order_oriented_raw_completion_expectation,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,first-order development state process,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-2-1-0,loop_p_0-2-1-0,368,225.843102311,first_order_oriented_raw_completion_expectation,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,first-order development state process,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-2-1-3-0,loop_p_0-2-1-3-0,113,70.0271725928,first_order_oriented_raw_completion_expectation,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,first-order development state process,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-2-3-0,loop_p_0-2-3-0,168,92.9556842835,first_order_oriented_raw_completion_expectation,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,first-order development state process,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-3-0,loop_p_0-3-0,2330,1113.60870943,first_order_oriented_raw_completion_expectation,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,first-order development state process,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
