representation,period,previous_state,current_state,loop_pair_id,loop_orientation,rows,stocks,sessions,closure_rate,same_current_state_other_predecessor_rate,closure_lift,bootstrap_ci_low,bootstrap_ci_high,p_value,supported,bootstrap_draws,bootstrap_seed,q_value
CAUSAL_HARD_SEMANTIC,DEVELOPMENT_2024,0,1,loop_p_0-1-0,0->1->0,13,9,7,0.0769230769231,0.413441201354,-0.336518124431,,,,False,2000,20260720,
CAUSAL_HARD_SEMANTIC,DEVELOPMENT_2024,0,2,loop_p_0-2-0,0->2->0,916,22,196,0.662663755459,0.355322338831,0.307341416628,0.264998277433,0.349076869681,0.000999500249875,True,2000,20260720,0.00124180334075
CAUSAL_HARD_SEMANTIC,DEVELOPMENT_2024,0,3,loop_p_0-3-0,0->3->0,20,10,14,0.3,0.384597100071,-0.0845971000713,,,,False,2000,20260720,
CAUSAL_HARD_SEMANTIC,DEVELOPMENT_2024,0,4,loop_p_0-4-0,0->4->0,22,7,15,0.0909090909091,0.456473306378,-0.365564215469,,,,False,2000,20260720,
CAUSAL_HARD_SEMANTIC,DEVELOPMENT_2024,0,5,loop_p_0-5-0,0->5->0,281,22,134,0.209964412811,0.520928305015,-0.310963892203,-0.366630559374,-0.248954703898,0.000999500249875,True,2000,20260720,0.00124180334075
CAUSAL_HARD_SEMANTIC,DEVELOPMENT_2024,0,6,loop_p_0-6-0,0->6->0,31,16,18,0.0967741935484,0.394104350233,-0.297330156685,,,,False,2000,20260720,
CAUSAL_HARD_SEMANTIC,DEVELOPMENT_2024,0,7,loop_p_0-7-0,0->7->0,165,22,97,0.187878787879,0.358942414175,-0.171063626296,,,,False,2000,20260720,
CAUSAL_HARD_SEMANTIC,DEVELOPMENT_2024,1,0,loop_p_0-1-0,1->0->1,28,15,20,0.178571428571,0.649151172191,-0.470579743619,,,,False,2000,20260720,
CAUSAL_HARD_SEMANTIC,DEVELOPMENT_2024,1,2,loop_p_1-2-1,1->2->1,366,22,170,0.191256830601,0.443243243243,-0.251986412642,-0.292557655026,-0.211581419631,0.000999500249875,True,2000,20260720,0.00124180334075
CAUSAL_HARD_SEMANTIC,DEVELOPMENT_2024,1,3,loop_p_1-3-1,1->3->1,4745,22,252,0.192834562698,0.459638106255,-0.266803543557,-0.28270056219,-0.25026454334,0.000999500249875,True,2000,20260720,0.00124180334075
CAUSAL_HARD_SEMANTIC,DEVELOPMENT_2024,1,4,loop_p_1-4-1,1->4->1,3537,22,252,0.324286118179,0.509879125988,-0.185593007809,-0.206190088467,-0.163367288345,0.000999500249875,True,2000,20260720,0.00124180334075
CAUSAL_HARD_SEMANTIC,DEVELOPMENT_2024,1,5,loop_p_1-5-1,1->5->1,374,22,167,0.235294117647,0.525036974435,-0.289742856788,-0.332620473706,-0.248008883792,0.000999500249875,True,2000,20260720,0.00124180334075
CAUSAL_HARD_SEMANTIC,DEVELOPMENT_2024,1,6,loop_p_1-6-1,1->6->1,7827,22,252,0.593969592436,0.280743462287,0.31322613015,0.294617083034,0.332132960691,0.000999500249875,True,2000,20260720,0.00124180334075
CAUSAL_HARD_SEMANTIC,DEVELOPMENT_2024,1,7,loop_p_1-7-1,1->7->1,736,22,236,0.157608695652,0.376972794228,-0.219364098576,-0.248916236632,-0.189370393202,0.000999500249875,True,2000,20260720,0.00124180334075
CAUSAL_HARD_SEMANTIC,DEVELOPMENT_2024,2,0,loop_p_0-2-0,2->0->2,696,22,168,0.89224137931,0.328646748682,0.563594630628,0.507545224188,0.615865842339,0.000999500249875,True,2000,20260720,0.00124180334075
CAUSAL_HARD_SEMANTIC,DEVELOPMENT_2024,2,1,loop_p_1-2-1,2->1->2,373,22,176,0.289544235925,0.415696420871,-0.126152184946,-0.172792434769,-0.0809590580934,0.000999500249875,True,2000,20260720,0.00124180334075
CAUSAL_HARD_SEMANTIC,DEVELOPMENT_2024,2,3,loop_p_2-3-2,2->3->2,698,22,211,0.363896848138,0.385386996904,-0.0214901487665,-0.0608583296542,0.0167865675085,0.284857571214,True,2000,20260720,0.291979010495
CAUSAL_HARD_SEMANTIC,DEVELOPMENT_2024,2,4,loop_p_2-4-2,2->4->2,217,22,128,0.410138248848,0.456642066421,-0.0465038175727,-0.118211931445,0.026892887053,0.199900049975,True,2000,20260720,0.210151334589
CAUSAL_HARD_SEMANTIC,DEVELOPMENT_2024,2,5,loop_p_2-5-2,2->5->2,562,21,182,0.624555160142,0.488888888889,0.135666271253,0.0911617213169,0.178872755565,0.000999500249875,True,2000,20260720,0.00124180334075
CAUSAL_HARD_SEMANTIC,DEVELOPMENT_2024,2,6,loop_p_2-6-2,2->6->2,995,22,226,0.358793969849,0.395355573794,-0.036561603945,-0.0726217130189,-0.003986032459,0.0279860069965,True,2000,20260720,0.0301954286015
CAUSAL_HARD_SEMANTIC,DEVELOPMENT_2024,2,7,loop_p_2-7-2,2->7->2,451,22,170,0.465631929047,0.347938887287,0.117693041759,0.0698569128069,0.167165220001,0.000999500249875,True,2000,20260720,0.00124180334075
CAUSAL_HARD_SEMANTIC,DEVELOPMENT_2024,3,0,loop_p_0-3-0,3->0->3,44,14,30,0.272727272727,0.651924651925,-0.379197379197,,,,False,2000,20260720,
CAUSAL_HARD_SEMANTIC,DEVELOPMENT_2024,3,1,loop_p_1-3-1,3->1->3,2405,22,250,0.388773388773,0.416767554479,-0.027994165706,-0.0520908463168,-0.00413126784393,0.0199900049975,True,2000,20260720,0.0227663945805
CAUSAL_HARD_SEMANTIC,DEVELOPMENT_2024,3,2,loop_p_2-3-2,3->2->3,690,22,208,0.479710144928,0.410278011794,0.0694321331331,0.0267373889688,0.114455207883,0.0039980009995,True,2000,20260720,0.00468337259941
CAUSAL_HARD_SEMANTIC,DEVELOPMENT_2024,3,4,loop_p_3-4-3,3->4->3,5110,22,252,0.622113502935,0.334945242498,0.287168260438,0.266014222267,0.308184981209,0.000999500249875,True,2000,20260720,0.00124180334075
CAUSAL_HARD_SEMANTIC,DEVELOPMENT_2024,3,5,loop_p_3-5-3,3->5->3,36,14,33,0,0.507394991126,-0.507394991126,,,,False,2000,20260720,
CAUSAL_HARD_SEMANTIC,DEVELOPMENT_2024,3,6,loop_p_3-6-3,3->6->3,6372,22,252,0.315442561205,0.42618675013,-0.110744188925,-0.130162725333,-0.090775684117,0.000999500249875,True,2000,20260720,0.00124180334075
CAUSAL_HARD_SEMANTIC,DEVELOPMENT_2024,3,7,loop_p_3-7-3,3->7->3,1171,22,237,0.484201537148,0.330813766484,0.153387770663,0.117009084078,0.191239736143,0.000999500249875,True,2000,20260720,0.00124180334075
CAUSAL_HARD_SEMANTIC,DEVELOPMENT_2024,4,0,loop_p_0-4-0,4->0->4,34,11,27,0.352941176471,0.646628757108,-0.293687580637,,,,False,2000,20260720,
CAUSAL_HARD_SEMANTIC,DEVELOPMENT_2024,4,1,loop_p_1-4-1,4->1->4,2746,22,252,0.333940276766,0.426664194326,-0.0927239175598,-0.115007782924,-0.0701635470902,0.000999500249875,True,2000,20260720,0.00124180334075
CAUSAL_HARD_SEMANTIC,DEVELOPMENT_2024,4,2,loop_p_2-4-2,4->2->4,196,22,120,0.209183673469,0.431812577065,-0.222628903596,,,,False,2000,20260720,
CAUSAL_HARD_SEMANTIC,DEVELOPMENT_2024,4,3,loop_p_3-4-3,4->3->4,5204,22,252,0.517102229055,0.325231879079,0.191870349975,0.172596921681,0.210245682182,0.000999500249875,True,2000,20260720,0.00124180334075
CAUSAL_HARD_SEMANTIC,DEVELOPMENT_2024,4,5,loop_p_4-5-4,4->5->4,181,21,115,0.165745856354,0.516240357288,-0.350494500934,,,,False,2000,20260720,
CAUSAL_HARD_SEMANTIC,DEVELOPMENT_2024,4,6,loop_p_4-6-4,4->6->4,3041,22,252,0.30417625781,0.408260566776,-0.104084308966,-0.12547831783,-0.0834888776938,0.000999500249875,True,2000,20260720,0.00124180334075
CAUSAL_HARD_SEMANTIC,DEVELOPMENT_2024,4,7,loop_p_4-7-4,4->7->4,306,22,170,0.267973856209,0.358887477058,-0.0909136208486,-0.14691989117,-0.0311108452419,0.00299850074963,True,2000,20260720,0.00361583913925
CAUSAL_HARD_SEMANTIC,DEVELOPMENT_2024,5,0,loop_p_0-5-0,5->0->5,201,21,112,0.402985074627,0.683270676692,-0.280285602065,-0.375985285405,-0.181292564145,0.000999500249875,True,2000,20260720,0.00124180334075
