representation,previous_state,current_state,loop_pair_id,loop_orientation,rows_development,stocks_development,sessions_development,closure_rate_development,closure_lift_development,bootstrap_ci_low_development,bootstrap_ci_high_development,q_value_development,supported_development,rows_assessment,stocks_assessment,sessions_assessment,closure_rate_assessment,closure_lift_assessment,bootstrap_ci_low_assessment,bootstrap_ci_high_assessment,q_value_assessment,supported_assessment,development_selected,same_direction,assessment_significant_same_direction
CAUSAL_HARD_SEMANTIC,0,1,loop_p_0-1-0,0->1->0,13,9,7,0.0769230769231,-0.336518124431,,,,False,42,14,27,0.047619047619,-0.356800381191,,,,False,False,True,False
CAUSAL_HARD_SEMANTIC,0,2,loop_p_0-2-0,0->2->0,916,22,196,0.662663755459,0.307341416628,0.264998277433,0.349076869681,0.00124180334075,True,1057,22,185,0.548722800378,0.158920560683,0.114689705593,0.203785110073,0.00124937531234,True,True,True,True
CAUSAL_HARD_SEMANTIC,0,3,loop_p_0-3-0,0->3->0,20,10,14,0.3,-0.0845971000713,,,,False,33,13,25,0.030303030303,-0.311338204014,,,,False,False,True,False
CAUSAL_HARD_SEMANTIC,0,4,loop_p_0-4-0,0->4->0,22,7,15,0.0909090909091,-0.365564215469,,,,False,24,7,20,0.0833333333333,-0.372630534456,,,,False,False,True,False
CAUSAL_HARD_SEMANTIC,0,5,loop_p_0-5-0,0->5->0,281,22,134,0.209964412811,-0.310963892203,-0.366630559374,-0.248954703898,0.00124180334075,True,280,22,125,0.253571428571,-0.278968253968,-0.342278007404,-0.221265909122,0.00124937531234,True,True,True,True
CAUSAL_HARD_SEMANTIC,0,6,loop_p_0-6-0,0->6->0,31,16,18,0.0967741935484,-0.297330156685,,,,False,131,18,48,0.18320610687,-0.199538818108,,,,False,False,True,False
CAUSAL_HARD_SEMANTIC,0,7,loop_p_0-7-0,0->7->0,165,22,97,0.187878787879,-0.171063626296,,,,False,200,20,108,0.125,-0.231993190152,-0.278910136532,-0.18117346084,0.00124937531234,True,False,True,False
CAUSAL_HARD_SEMANTIC,1,0,loop_p_0-1-0,1->0->1,28,15,20,0.178571428571,-0.470579743619,,,,False,77,18,36,0.12987012987,-0.469226061221,,,,False,False,True,False
CAUSAL_HARD_SEMANTIC,1,2,loop_p_1-2-1,1->2->1,366,22,170,0.191256830601,-0.251986412642,-0.292557655026,-0.211581419631,0.00124180334075,True,493,22,165,0.204868154158,-0.239366250379,-0.282722301811,-0.200359585605,0.00124937531234,True,True,True,True
CAUSAL_HARD_SEMANTIC,1,3,loop_p_1-3-1,1->3->1,4745,22,252,0.192834562698,-0.266803543557,-0.28270056219,-0.25026454334,0.00124180334075,True,5253,22,250,0.180087569008,-0.228762839842,-0.246060736861,-0.212143465988,0.00124937531234,True,True,True,True
CAUSAL_HARD_SEMANTIC,1,4,loop_p_1-4-1,1->4->1,3537,22,252,0.324286118179,-0.185593007809,-0.206190088467,-0.163367288345,0.00124180334075,True,2811,22,249,0.329420135183,-0.176403013631,-0.201204963311,-0.1521537344,0.00124937531234,True,True,True,True
CAUSAL_HARD_SEMANTIC,1,5,loop_p_1-5-1,1->5->1,374,22,167,0.235294117647,-0.289742856788,-0.332620473706,-0.248008883792,0.00124180334075,True,363,22,150,0.250688705234,-0.286733122484,-0.338738310809,-0.236546240452,0.00124937531234,True,True,True,True
CAUSAL_HARD_SEMANTIC,1,6,loop_p_1-6-1,1->6->1,7827,22,252,0.593969592436,0.31322613015,0.294617083034,0.332132960691,0.00124180334075,True,8036,22,250,0.576530612245,0.301098555315,0.279827466187,0.321591602272,0.00124937531234,True,True,True,True
CAUSAL_HARD_SEMANTIC,1,7,loop_p_1-7-1,1->7->1,736,22,236,0.157608695652,-0.219364098576,-0.248916236632,-0.189370393202,0.00124180334075,True,727,22,223,0.159559834938,-0.211097078833,-0.242453138434,-0.180532110576,0.00124937531234,True,True,True,True
CAUSAL_HARD_SEMANTIC,2,0,loop_p_0-2-0,2->0->2,696,22,168,0.89224137931,0.563594630628,0.507545224188,0.615865842339,0.00124180334075,True,723,22,160,0.926694329184,0.629905846349,0.583025810785,0.677516995064,0.00124937531234,True,True,True,True
CAUSAL_HARD_SEMANTIC,2,1,loop_p_1-2-1,2->1->2,373,22,176,0.289544235925,-0.126152184946,-0.172792434769,-0.0809590580934,0.00124180334075,True,544,22,167,0.227941176471,-0.18081404134,-0.215863412274,-0.146048872819,0.00124937531234,True,True,True,True
CAUSAL_HARD_SEMANTIC,2,3,loop_p_2-3-2,2->3->2,698,22,211,0.363896848138,-0.0214901487665,-0.0608583296542,0.0167865675085,0.291979010495,True,1195,22,205,0.323849372385,-0.0184564587305,-0.0473957665578,0.00884400375244,0.186043341965,True,False,True,False
CAUSAL_HARD_SEMANTIC,2,4,loop_p_2-4-2,2->4->2,217,22,128,0.410138248848,-0.0465038175727,-0.118211931445,0.026892887053,0.210151334589,True,266,22,123,0.402255639098,-0.0542706766917,-0.122729358413,0.0139270699479,0.129702590565,True,False,True,False
CAUSAL_HARD_SEMANTIC,2,5,loop_p_2-5-2,2->5->2,562,21,182,0.624555160142,0.135666271253,0.0911617213169,0.178872755565,0.00124180334075,True,514,22,157,0.61673151751,0.109448954047,0.0533538637756,0.164099963404,0.00124937531234,True,True,True,True
CAUSAL_HARD_SEMANTIC,2,6,loop_p_2-6-2,2->6->2,995,22,226,0.358793969849,-0.036561603945,-0.0726217130189,-0.003986032459,0.0301954286015,True,1280,22,222,0.290625,-0.096386296546,-0.124745236455,-0.0687677495242,0.00124937531234,True,True,True,True
CAUSAL_HARD_SEMANTIC,2,7,loop_p_2-7-2,2->7->2,451,22,170,0.465631929047,0.117693041759,0.0698569128069,0.167165220001,0.00124180334075,True,423,22,164,0.408983451537,0.0612160159505,0.00753130406887,0.119737688762,0.0340073865506,True,True,True,True
CAUSAL_HARD_SEMANTIC,3,0,loop_p_0-3-0,3->0->3,44,14,30,0.272727272727,-0.379197379197,,,,False,110,20,52,0.190909090909,-0.413972175582,,,,False,False,True,False
CAUSAL_HARD_SEMANTIC,3,1,loop_p_1-3-1,3->1->3,2405,22,250,0.388773388773,-0.027994165706,-0.0520908463168,-0.00413126784393,0.0227663945805,True,2619,22,249,0.373424971363,-0.0349790982293,-0.0613740799464,-0.00935589054068,0.00674662668666,True,True,True,True
CAUSAL_HARD_SEMANTIC,3,2,loop_p_2-3-2,3->2->3,690,22,208,0.479710144928,0.0694321331331,0.0267373889688,0.114455207883,0.00468337259941,True,1179,22,200,0.547921967769,0.16264589415,0.125536396692,0.196075893184,0.00124937531234,True,True,True,True
CAUSAL_HARD_SEMANTIC,3,4,loop_p_3-4-3,3->4->3,5110,22,252,0.622113502935,0.287168260438,0.266014222267,0.308184981209,0.00124180334075,True,4247,22,248,0.60113020956,0.258495674318,0.235820747209,0.28048510932,0.00124937531234,True,True,True,True
CAUSAL_HARD_SEMANTIC,3,5,loop_p_3-5-3,3->5->3,36,14,33,0,-0.507394991126,,,,False,39,19,27,0,-0.521681499716,,,,False,False,True,False
CAUSAL_HARD_SEMANTIC,3,6,loop_p_3-6-3,3->6->3,6372,22,252,0.315442561205,-0.110744188925,-0.130162725333,-0.090775684117,0.00124180334075,True,7312,22,250,0.330552516411,-0.0751584468291,-0.0973776811919,-0.0527656447202,0.00124937531234,True,True,True,True
CAUSAL_HARD_SEMANTIC,3,7,loop_p_3-7-3,3->7->3,1171,22,237,0.484201537148,0.153387770663,0.117009084078,0.191239736143,0.00124180334075,True,1168,22,229,0.523116438356,0.202180625519,0.160296334361,0.243944926217,0.00124937531234,True,True,True,True
CAUSAL_HARD_SEMANTIC,4,0,loop_p_0-4-0,4->0->4,34,11,27,0.352941176471,-0.293687580637,,,,False,30,10,28,0.0666666666667,-0.519799498747,,,,False,False,True,False
CAUSAL_HARD_SEMANTIC,4,1,loop_p_1-4-1,4->1->4,2746,22,252,0.333940276766,-0.0927239175598,-0.115007782924,-0.0701635470902,0.00124180334075,True,2207,22,247,0.266878115088,-0.154492971089,-0.179364632835,-0.13042139022,0.00124937531234,True,True,True,True
CAUSAL_HARD_SEMANTIC,4,2,loop_p_2-4-2,4->2->4,196,22,120,0.209183673469,-0.222628903596,,,,False,265,21,123,0.320754716981,-0.106384990375,-0.170748383427,-0.0411889525316,0.00124937531234,True,False,True,False
CAUSAL_HARD_SEMANTIC,4,3,loop_p_3-4-3,4->3->4,5204,22,252,0.517102229055,0.191870349975,0.172596921681,0.210245682182,0.00124180334075,True,4053,22,249,0.424377004688,0.108010177132,0.085833383291,0.130402533625,0.00124937531234,True,True,True,True
CAUSAL_HARD_SEMANTIC,4,5,loop_p_4-5-4,4->5->4,181,21,115,0.165745856354,-0.350494500934,,,,False,135,22,92,0.177777777778,-0.348933890496,,,,False,False,True,False
CAUSAL_HARD_SEMANTIC,4,6,loop_p_4-6-4,4->6->4,3041,22,252,0.30417625781,-0.104084308966,-0.12547831783,-0.0834888776938,0.00124180334075,True,2382,22,248,0.230898404702,-0.168288228646,-0.191443155596,-0.146003528204,0.00124937531234,True,True,True,True
CAUSAL_HARD_SEMANTIC,4,7,loop_p_4-7-4,4->7->4,306,22,170,0.267973856209,-0.0909136208486,-0.14691989117,-0.0311108452419,0.00361583913925,True,291,22,152,0.237113402062,-0.118353794757,-0.1750625266,-0.0544461481087,0.00355085615087,True,True,True,True
