record_type,draw,comparison,metric,value,real_increment,null_draws_exceeded
draw,0.0,U1_minus_U0,log_loss_improvement,1.98691590396205e-05,,
draw,0.0,U1_minus_U0,brier_improvement,-4.8788163613811e-05,,
draw,0.0,R1_minus_R0,log_loss_improvement,-0.0008506208538462956,,
draw,0.0,R1_minus_R0,brier_improvement,-0.00039722681137858984,,
draw,0.0,F1_minus_F0,multiclass_log_loss_improvement,-0.003970656842739229,,
draw,0.0,F1_minus_F0,multiclass_brier_improvement,-0.0011097108476958994,,
draw,1.0,U1_minus_U0,log_loss_improvement,-0.001566116039578791,,
draw,1.0,U1_minus_U0,brier_improvement,-0.0005974653546744202,,
draw,1.0,R1_minus_R0,log_loss_improvement,0.00021033731623990026,,
draw,1.0,R1_minus_R0,brier_improvement,5.7320968295290764e-05,,
draw,1.0,F1_minus_F0,multiclass_log_loss_improvement,-0.005241028643013901,,
draw,1.0,F1_minus_F0,multiclass_brier_improvement,-0.0021992858106869573,,
draw,2.0,U1_minus_U0,log_loss_improvement,-0.0010751070536296758,,
draw,2.0,U1_minus_U0,brier_improvement,-0.00041009212628093095,,
draw,2.0,R1_minus_R0,log_loss_improvement,-0.0011695671520020878,,
draw,2.0,R1_minus_R0,brier_improvement,-0.00037383066880940924,,
draw,2.0,F1_minus_F0,multiclass_log_loss_improvement,-0.005196808388973184,,
draw,2.0,F1_minus_F0,multiclass_brier_improvement,-0.0029356759993889314,,
draw,3.0,U1_minus_U0,log_loss_improvement,-0.0014620944098875377,,
draw,3.0,U1_minus_U0,brier_improvement,-0.0005777630152728475,,
draw,3.0,R1_minus_R0,log_loss_improvement,-0.0008671357762191356,,
draw,3.0,R1_minus_R0,brier_improvement,-0.000342716417700728,,
draw,3.0,F1_minus_F0,multiclass_log_loss_improvement,-0.004104532741199152,,
draw,3.0,F1_minus_F0,multiclass_brier_improvement,-0.0020963859087333447,,
draw,4.0,U1_minus_U0,log_loss_improvement,-0.001413651269033811,,
draw,4.0,U1_minus_U0,brier_improvement,-0.0005505672315795629,,
draw,4.0,R1_minus_R0,log_loss_improvement,-0.0004321526240700646,,
draw,4.0,R1_minus_R0,brier_improvement,-0.0001785095282050772,,
draw,4.0,F1_minus_F0,multiclass_log_loss_improvement,-0.0019076923816235825,,
draw,4.0,F1_minus_F0,multiclass_brier_improvement,-0.0003176523031286349,,
comparison,,U1_minus_U0,log_loss_improvement,,0.004215403556654063,5.0
comparison,,U1_minus_U0,brier_improvement,,0.0014617054922588246,5.0
comparison,,R1_minus_R0,log_loss_improvement,,0.0003427723278312811,5.0
comparison,,R1_minus_R0,brier_improvement,,1.232004390935848e-06,4.0
comparison,,F1_minus_F0,multiclass_log_loss_improvement,,0.0040307684790986675,5.0
comparison,,F1_minus_F0,multiclass_brier_improvement,,3.2349802047026976e-05,5.0
