year,period,raw_outcome,decision_ordinal,rows,sessions,stocks,excluded_from_primary
2024,development,REGISTERED_COMPLETION,6,215,134,20,False
2024,development,UNREGISTERED_LOOP,6,1137,231,20,False
2024,development,NO_REGISTERED_COMPLETION,6,3292,234,20,False
2024,development,TIED_REGISTERED_COMPLETION,6,0,0,0,True
2024,development,SOURCE_UNAVAILABLE,6,0,0,0,True
2024,development,REGISTERED_COMPLETION,12,310,173,20,False
2024,development,UNREGISTERED_LOOP,12,1539,233,20,False
2024,development,NO_REGISTERED_COMPLETION,12,2791,234,20,False
2024,development,TIED_REGISTERED_COMPLETION,12,3,3,2,True
2024,development,SOURCE_UNAVAILABLE,12,0,0,0,True
2025,assessment,REGISTERED_COMPLETION,6,118,81,20,False
2025,assessment,UNREGISTERED_LOOP,6,722,153,20,False
2025,assessment,NO_REGISTERED_COMPLETION,6,2291,157,20,False
2025,assessment,TIED_REGISTERED_COMPLETION,6,0,0,0,True
2025,assessment,SOURCE_UNAVAILABLE,6,0,0,0,True
2025,assessment,REGISTERED_COMPLETION,12,194,107,20,False
2025,assessment,UNREGISTERED_LOOP,12,919,155,20,False
2025,assessment,NO_REGISTERED_COMPLETION,12,2017,157,20,False
2025,assessment,TIED_REGISTERED_COMPLETION,12,1,1,1,True
2025,assessment,SOURCE_UNAVAILABLE,12,0,0,0,True
